"variable","percent","point","mean","sd"
"pelvic_tilt",0,1,12.1464,3
"pelvic_tilt",1,2,12.09292,3
"pelvic_tilt",2,3,12.0222,3
"pelvic_tilt",3,4,11.93535,3
"pelvic_tilt",4,5,11.83376,3
"pelvic_tilt",5,6,11.71902,3
"pelvic_tilt",6,7,11.59294,3
"pelvic_tilt",7,8,11.4575,3
"pelvic_tilt",8,9,11.31485,3
"pelvic_tilt",9,10,11.16724,3
"pelvic_tilt",10,11,11.01699,3
"pelvic_tilt",11,12,10.86647,3
"pelvic_tilt",12,13,10.71806,3
"pelvic_tilt",13,14,10.57409,3
"pelvic_tilt",14,15,10.43684,3
"pelvic_tilt",15,16,10.30847,3
"pelvic_tilt",16,17,10.19101,3
"pelvic_tilt",17,18,10.08631,3
"pelvic_tilt",18,19,9.99601,3
"pelvic_tilt",19,20,9.92155,3
"pelvic_tilt",20,21,9.8641,3
"pelvic_tilt",21,22,9.82456,3
"pelvic_tilt",22,23,9.80355,3
"pelvic_tilt",23,24,9.80142,3
"pelvic_tilt",24,25,9.81819,3
"pelvic_tilt",25,26,9.8536,3
"pelvic_tilt",26,27,9.90708,3
"pelvic_tilt",27,28,9.9778,3
"pelvic_tilt",28,29,10.06465,3
"pelvic_tilt",29,30,10.16624,3
"pelvic_tilt",30,31,10.28098,3
"pelvic_tilt",31,32,10.40706,3
"pelvic_tilt",32,33,10.5425,3
"pelvic_tilt",33,34,10.68515,3
"pelvic_tilt",34,35,10.83276,3
"pelvic_tilt",35,36,10.98301,3
"pelvic_tilt",36,37,11.13353,3
"pelvic_tilt",37,38,11.28194,3
"pelvic_tilt",38,39,11.42591,3
"pelvic_tilt",39,40,11.56316,3
"pelvic_tilt",40,41,11.69153,3
"pelvic_tilt",41,42,11.80899,3
"pelvic_tilt",42,43,11.91369,3
"pelvic_tilt",43,44,12.00399,3
"pelvic_tilt",44,45,12.07845,3
"pelvic_tilt",45,46,12.1359,3
"pelvic_tilt",46,47,12.17544,3
"pelvic_tilt",47,48,12.19645,3
"pelvic_tilt",48,49,12.19858,3
"pelvic_tilt",49,50,12.18181,3
"pelvic_tilt",50,51,12.1464,3
"pelvic_tilt",51,52,12.09292,3
"pelvic_tilt",52,53,12.0222,3
"pelvic_tilt",53,54,11.93535,3
"pelvic_tilt",54,55,11.83376,3
"pelvic_tilt",55,56,11.71902,3
"pelvic_tilt",56,57,11.59294,3
"pelvic_tilt",57,58,11.4575,3
"pelvic_tilt",58,59,11.31485,3
"pelvic_tilt",59,60,11.16724,3
"pelvic_tilt",60,61,11.01699,3
"pelvic_tilt",61,62,10.86647,3
"pelvic_tilt",62,63,10.71806,3
"pelvic_tilt",63,64,10.57409,3
"pelvic_tilt",64,65,10.43684,3
"pelvic_tilt",65,66,10.30847,3
"pelvic_tilt",66,67,10.19101,3
"pelvic_tilt",67,68,10.08631,3
"pelvic_tilt",68,69,9.99601,3
"pelvic_tilt",69,70,9.92155,3
"pelvic_tilt",70,71,9.8641,3
"pelvic_tilt",71,72,9.82456,3
"pelvic_tilt",72,73,9.80355,3
"pelvic_tilt",73,74,9.80142,3
"pelvic_tilt",74,75,9.81819,3
"pelvic_tilt",75,76,9.8536,3
"pelvic_tilt",76,77,9.90708,3
"pelvic_tilt",77,78,9.9778,3
"pelvic_tilt",78,79,10.06465,3
"pelvic_tilt",79,80,10.16624,3
"pelvic_tilt",80,81,10.28098,3
"pelvic_tilt",81,82,10.40706,3
"pelvic_tilt",82,83,10.5425,3
"pelvic_tilt",83,84,10.68515,3
"pelvic_tilt",84,85,10.83276,3
"pelvic_tilt",85,86,10.98301,3
"pelvic_tilt",86,87,11.13353,3
"pelvic_tilt",87,88,11.28194,3
"pelvic_tilt",88,89,11.42591,3
"pelvic_tilt",89,90,11.56316,3
"pelvic_tilt",90,91,11.69153,3
"pelvic_tilt",91,92,11.80899,3
"pelvic_tilt",92,93,11.91369,3
"pelvic_tilt",93,94,12.00399,3
"pelvic_tilt",94,95,12.07845,3
"pelvic_tilt",95,96,12.1359,3
"pelvic_tilt",96,97,12.17544,3
"pelvic_tilt",97,98,12.19645,3
"pelvic_tilt",98,99,12.19858,3
"pelvic_tilt",99,100,12.18181,3
"pelvic_tilt",100,101,12.1464,3
"pelvic_obliquity",0,1,0,1.2
"pelvic_obliquity",1,2,0.25116,1.2
"pelvic_obliquity",2,3,0.50133,1.2
"pelvic_obliquity",3,4,0.74953,1.2
"pelvic_obliquity",4,5,0.99476,1.2
"pelvic_obliquity",5,6,1.23607,1.2
"pelvic_obliquity",6,7,1.4725,1.2
"pelvic_obliquity",7,8,1.70312,1.2
"pelvic_obliquity",8,9,1.92701,1.2
"pelvic_obliquity",9,10,2.14331,1.2
"pelvic_obliquity",10,11,2.35114,1.2
"pelvic_obliquity",11,12,2.5497,1.2
"pelvic_obliquity",12,13,2.73819,1.2
"pelvic_obliquity",13,14,2.91587,1.2
"pelvic_obliquity",14,15,3.08205,1.2
"pelvic_obliquity",15,16,3.23607,1.2
"pelvic_obliquity",16,17,3.37731,1.2
"pelvic_obliquity",17,18,3.50523,1.2
"pelvic_obliquity",18,19,3.61931,1.2
"pelvic_obliquity",19,20,3.71911,1.2
"pelvic_obliquity",20,21,3.80423,1.2
"pelvic_obliquity",21,22,3.87433,1.2
"pelvic_obliquity",22,23,3.92915,1.2
"pelvic_obliquity",23,24,3.96846,1.2
"pelvic_obliquity",24,25,3.99211,1.2
"pelvic_obliquity",25,26,4,1.2
"pelvic_obliquity",26,27,3.99211,1.2
"pelvic_obliquity",27,28,3.96846,1.2
"pelvic_obliquity",28,29,3.92915,1.2
"pelvic_obliquity",29,30,3.87433,1.2
"pelvic_obliquity",30,31,3.80423,1.2
"pelvic_obliquity",31,32,3.71911,1.2
"pelvic_obliquity",32,33,3.61931,1.2
"pelvic_obliquity",33,34,3.50523,1.2
"pelvic_obliquity",34,35,3.37731,1.2
"pelvic_obliquity",35,36,3.23607,1.2
"pelvic_obliquity",36,37,3.08205,1.2
"pelvic_obliquity",37,38,2.91587,1.2
"pelvic_obliquity",38,39,2.73819,1.2
"pelvic_obliquity",39,40,2.5497,1.2
"pelvic_obliquity",40,41,2.35114,1.2
"pelvic_obliquity",41,42,2.14331,1.2
"pelvic_obliquity",42,43,1.92701,1.2
"pelvic_obliquity",43,44,1.70312,1.2
"pelvic_obliquity",44,45,1.4725,1.2
"pelvic_obliquity",45,46,1.23607,1.2
"pelvic_obliquity",46,47,0.99476,1.2
"pelvic_obliquity",47,48,0.74953,1.2
"pelvic_obliquity",48,49,0.50133,1.2
"pelvic_obliquity",49,50,0.25116,1.2
"pelvic_obliquity",50,51,0,1.2
"pelvic_obliquity",51,52,-0.25116,1.2
"pelvic_obliquity",52,53,-0.50133,1.2
"pelvic_obliquity",53,54,-0.74953,1.2
"pelvic_obliquity",54,55,-0.99476,1.2
"pelvic_obliquity",55,56,-1.23607,1.2
"pelvic_obliquity",56,57,-1.4725,1.2
"pelvic_obliquity",57,58,-1.70312,1.2
"pelvic_obliquity",58,59,-1.92701,1.2
"pelvic_obliquity",59,60,-2.14331,1.2
"pelvic_obliquity",60,61,-2.35114,1.2
"pelvic_obliquity",61,62,-2.5497,1.2
"pelvic_obliquity",62,63,-2.73819,1.2
"pelvic_obliquity",63,64,-2.91587,1.2
"pelvic_obliquity",64,65,-3.08205,1.2
"pelvic_obliquity",65,66,-3.23607,1.2
"pelvic_obliquity",66,67,-3.37731,1.2
"pelvic_obliquity",67,68,-3.50523,1.2
"pelvic_obliquity",68,69,-3.61931,1.2
"pelvic_obliquity",69,70,-3.71911,1.2
"pelvic_obliquity",70,71,-3.80423,1.2
"pelvic_obliquity",71,72,-3.87433,1.2
"pelvic_obliquity",72,73,-3.92915,1.2
"pelvic_obliquity",73,74,-3.96846,1.2
"pelvic_obliquity",74,75,-3.99211,1.2
"pelvic_obliquity",75,76,-4,1.2
"pelvic_obliquity",76,77,-3.99211,1.2
"pelvic_obliquity",77,78,-3.96846,1.2
"pelvic_obliquity",78,79,-3.92915,1.2
"pelvic_obliquity",79,80,-3.87433,1.2
"pelvic_obliquity",80,81,-3.80423,1.2
"pelvic_obliquity",81,82,-3.71911,1.2
"pelvic_obliquity",82,83,-3.61931,1.2
"pelvic_obliquity",83,84,-3.50523,1.2
"pelvic_obliquity",84,85,-3.37731,1.2
"pelvic_obliquity",85,86,-3.23607,1.2
"pelvic_obliquity",86,87,-3.08205,1.2
"pelvic_obliquity",87,88,-2.91587,1.2
"pelvic_obliquity",88,89,-2.73819,1.2
"pelvic_obliquity",89,90,-2.5497,1.2
"pelvic_obliquity",90,91,-2.35114,1.2
"pelvic_obliquity",91,92,-2.14331,1.2
"pelvic_obliquity",92,93,-1.92701,1.2
"pelvic_obliquity",93,94,-1.70312,1.2
"pelvic_obliquity",94,95,-1.4725,1.2
"pelvic_obliquity",95,96,-1.23607,1.2
"pelvic_obliquity",96,97,-0.99476,1.2
"pelvic_obliquity",97,98,-0.74953,1.2
"pelvic_obliquity",98,99,-0.50133,1.2
"pelvic_obliquity",99,100,-0.25116,1.2
"pelvic_obliquity",100,101,0,1.2
"pelvic_rotation",0,1,-1.94709,4
"pelvic_rotation",1,2,-1.65408,4
"pelvic_rotation",2,3,-1.35454,4
"pelvic_rotation",3,4,-1.04966,4
"pelvic_rotation",4,5,-0.74063,4
"pelvic_rotation",5,6,-0.42868,4
"pelvic_rotation",6,7,-0.11503,4
"pelvic_rotation",7,8,0.19906,4
"pelvic_rotation",8,9,0.51237,4
"pelvic_rotation",9,10,0.82366,4
"pelvic_rotation",10,11,1.1317,4
"pelvic_rotation",11,12,1.43527,4
"pelvic_rotation",12,13,1.73318,4
"pelvic_rotation",13,14,2.02425,4
"pelvic_rotation",14,15,2.30733,4
"pelvic_rotation",15,16,2.5813,4
"pelvic_rotation",16,17,2.84508,4
"pelvic_rotation",17,18,3.09764,4
"pelvic_rotation",18,19,3.33797,4
"pelvic_rotation",19,20,3.56513,4
"pelvic_rotation",20,21,3.77822,4
"pelvic_rotation",21,22,3.9764,4
"pelvic_rotation",22,23,4.15888,4
"pelvic_rotation",23,24,4.32496,4
"pelvic_rotation",24,25,4.47396,4
"pelvic_rotation",25,26,4.6053,4
"pelvic_rotation",26,27,4.71848,4
"pelvic_rotation",27,28,4.81303,4
"pelvic_rotation",28,29,4.88858,4
"pelvic_rotation",29,30,4.94484,4
"pelvic_rotation",30,31,4.98159,4
"pelvic_rotation",31,32,4.99868,4
"pelvic_rotation",32,33,4.99604,4
"pelvic_rotation",33,34,4.97368,4
"pelvic_rotation",34,35,4.93169,4
"pelvic_rotation",35,36,4.87024,4
"pelvic_rotation",36,37,4.78957,4
"pelvic_rotation",37,38,4.69,4
"pelvic_rotation",38,39,4.57192,4
"pelvic_rotation",39,40,4.43579,4
"pelvic_rotation",40,41,4.28216,4
"pelvic_rotation",41,42,4.11163,4
"pelvic_rotation",42,43,3.92487,4
"pelvic_rotation",43,44,3.72262,4
"pelvic_rotation",44,45,3.50569,4
"pelvic_rotation",45,46,3.27491,4
"pelvic_rotation",46,47,3.03121,4
"pelvic_rotation",47,48,2.77555,4
"pelvic_rotation",48,49,2.50894,4
"pelvic_rotation",49,50,2.23242,4
"pelvic_rotation",50,51,1.94709,4
"pelvic_rotation",51,52,1.65408,4
"pelvic_rotation",52,53,1.35454,4
"pelvic_rotation",53,54,1.04966,4
"pelvic_rotation",54,55,0.74063,4
"pelvic_rotation",55,56,0.42868,4
"pelvic_rotation",56,57,0.11503,4
"pelvic_rotation",57,58,-0.19906,4
"pelvic_rotation",58,59,-0.51237,4
"pelvic_rotation",59,60,-0.82366,4
"pelvic_rotation",60,61,-1.1317,4
"pelvic_rotation",61,62,-1.43527,4
"pelvic_rotation",62,63,-1.73318,4
"pelvic_rotation",63,64,-2.02425,4
"pelvic_rotation",64,65,-2.30733,4
"pelvic_rotation",65,66,-2.5813,4
"pelvic_rotation",66,67,-2.84508,4
